FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
103,FOPO,Fort Point National Historic Site,2/24/2010 0:00:00,CA,PW,1655639,National Historic Site,Lands,Fort Point,-122.473717243999999,37.808400204999998
104,SAMA,Salem Maritime National Historic Site,3/25/2010 0:00:00,MA,NE,1888961,National Historic Site,Lands,Salem Maritime,-70.886838229000006,42.519598971999997
105,WAMO,Washington Monument,11/6/2009 0:00:00,DC,NC,531850,National Memorial,Lands,Washington Monument,-77.035465854999998,38.888651821000003
106,JEFM,Thomas Jefferson Memorial,11/6/2009 0:00:00,DC,NC,530557,National Memorial,Lands,Thomas Jefferson Memorial,-77.036325723999994,38.881014305999997
107,MOCR,Moores Creek National Battlefield,10/26/2009 0:00:00,NC,SE,1025558,National Battlefield,Lands,Moores Creek,-78.110311343000006,34.458207762999997
108,HOBE,Horseshoe Bend National Military Park,10/26/2009 0:00:00,AL,SE,149966,National Military Park,Lands,Horseshoe Bend,-85.734135889000001,32.976688793999998
109,FOMA,Fort Matanzas National Monument,10/26/2009 0:00:00,FL,SE,307963,National Monument,Lands,Fort Matanzas,-81.238662406000003,29.711405458000002
110,CHIS,Channel Islands National Park,9/3/2009 0:00:00,CA,PW,1662323,National Park,Lands,Channel Islands,-119.739656780999994,34.016573244000000
111,CANY,Canyonlands National Park,4/26/2010 0:00:00,UT,IM,1448008,National Park,Lands,Canyonlands,-109.877003958000003,38.243551553000003
112,WHHO,White House,5/28/2010 0:00:00,DC,NC,2733430,Other Designation,Lands,President's Park (White House),-77.036553561000005,38.897039999999997
113,BOWA,Booker T. Washington National Monument,6/7/2010 0:00:00,VA,NE,1477005,National Monument,Lands,Booker T Washington,-79.731874141999995,37.114813644000002
114,JELA,Jean Lafitte National Historical Park and Preserve,6/11/2010 0:00:00,LA,SE,560393,National Historical Park and Preserve,Lands,Jean Lafitte,-90.147215036999995,29.819179448000000
115,JECA,Jewel Cave National Monument,7/22/2010 0:00:00,SD,MW,1261888,National Monument,Lands,Jewel Cave,-103.829994008000000,43.731029450000001
116,FOLS,Fort Larned National Historic Site,7/28/2010 0:00:00,KS,MW,475845,National Historic Site,Lands,Fort Larned,-99.216975116000000,38.184491051999998
117,RORI,Rosie the Riveter/World War II Home Front National Historical Park,5/17/2010 0:00:00,CA,PW,2026588,National Historical Park,Lands,Rosie the Riveter WWII Home Front,-122.366535056000004,37.908668325999997
118,FOST,Fort Stanwix National Monument,7/8/2010 0:00:00,NY,NE,1888919,National Monument,Lands,Fort Stanwix,-75.455576256000001,43.210534406000001
119,THKO,Thaddeus Kosciuszko National Memorial,7/7/2010 0:00:00,PA,NE,1888966,National Memorial,Lands,Thaddeus Kosciuszko,-75.147320453000006,39.943453122000001
