FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
364,KEFJ,Kenai Fjords National Park,3/21/2019 0:00:00,AK,AK,1419645,National Park,Lands,Kenai Fjords,-149.881524304999999,59.953918919000003
365,LACL,Lake Clark National Preserve,3/21/2019 0:00:00,AK,AK,1416049,National Preserve,Lands,Lake Clark,-154.568418535999996,60.185298883999998
366,NOAT,Noatak National Preserve,3/21/2019 0:00:00,AK,AK,1413640,National Preserve,Lands,Noatak,-159.394485671000012,68.184966329000005
367,BELA,Bering Land Bridge National Preserve,3/21/2019 0:00:00,AK,AK,1416037,National Preserve,Lands,Bering Land Bridge,-164.408675011000014,65.960858954000003
368,ALAG,Alagnak Wild River,3/21/2019 0:00:00,AK,AK,2733449,Wild River,Lands,Alagnak,-156.082237085000003,59.003069193999998
369,SITK,Sitka National Historical Park,3/21/2019 0:00:00,AK,AK,1417085,National Historical Park,Lands,Sitka,-135.315514973999996,57.047139379000001
370,ANIA,Aniakchak National Monument,3/21/2019 0:00:00,AK,AK,1416034,National Monument,Lands,Aniakchak,-158.117791477999987,56.895613638999997
371,CAKR,Cape Krusenstern National Monument,3/21/2019 0:00:00,AK,AK,1416038,National Monument,Lands,Cape Krusenstern,-163.504354116000002,67.415301263999993
372,GAAR,Gates of the Arctic National Park,3/21/2019 0:00:00,AK,AK,1416040,National Park,Lands,Gates of the Arctic,-153.386903025000009,67.877076793000001
373,DENA,Denali National Park,3/21/2019 0:00:00,AK,AK,2760439,National Park,Lands,Denali,-150.730208223999995,63.348239014000001
374,KATM,Katmai National Preserve,3/21/2019 0:00:00,AK,AK,1416045,National Preserve,Lands,Katmai,-155.319454040000011,59.107045763000002
375,KOVA,Kobuk Valley National Park,3/21/2019 0:00:00,AK,AK,1416046,National Park,Lands,Kobuk Valley,-159.063083584999987,67.282636686000004
376,GAAR,Gates of the Arctic National Preserve,3/21/2019 0:00:00,AK,AK,1416040,National Preserve,Lands,Gates of the Arctic,-154.915415985999999,66.779876502999997
377,ANIA,Aniakchak National Preserve,3/21/2019 0:00:00,AK,AK,1416034,National Preserve,Lands,Aniakchak,-157.720725861000005,56.865708165999997
378,YUCH,Yukon-Charley Rivers National Preserve,3/21/2019 0:00:00,AK,AK,1416058,National Preserve,Lands,Yukon - Charley Rivers,-142.796002092000009,65.093560800999995
379,LACL,Lake Clark National Park,3/21/2019 0:00:00,AK,AK,1416049,National Park,Lands,Lake Clark,-153.248061180000008,60.554298207000002
380,KLGO,Klondike Gold Rush National Historical Park,3/21/2019 0:00:00,AK,AK,1423115,National Historical Park,Lands,Klondike Gold Rush,-135.292636686999998,59.631591364000002
381,ROMO,Rocky Mountain National Park,6/30/2019 0:00:00,CO,IM,204948,National Park,Lands,Rocky Mountain,-105.697780473999998,40.355897177999999
382,ROCR,Rock Creek Park,5/30/2019 0:00:00,DC,NC,530563,Park,Lands,Rock Creek Park,-77.046082174000006,38.963017768999997
383,PISC,Piscataway Park,6/11/2019 0:00:00,MD,NC,1676813,Other Designation,Lands,Piscataway,-77.055115674000007,38.683891443000000
384,MANA,Manassas National Battlefield Park,6/11/2019 0:00:00,VA,NC,1470042,National Battlefield Park,Lands,Manassas,-77.530039316000000,38.820773039000002
385,KAHO,Kaloko-Honokohau National Historical Park,5/8/2019 0:00:00,HI,PW,1879023,National Historical Park,Lands,Kaloko-Honokohau,-156.030515701000013,19.680895870000001
386,JOTR,Joshua Tree National Park,6/13/2019 0:00:00,CA,PW,277261,National Park,Lands,Joshua Tree,-115.860122536999995,33.827185374999999
387,IATR,Ice Age National Scenic Trail,6/30/2019 0:00:00,WI,MW,2733461,National Scenic Trail,Lands,Ice Age,-89.613922850999998,43.076931277000000
388,HEHO,Herbert Hoover National Historic Site,6/30/2019 0:00:00,IA,MW,457629,National Historic Site,Lands,Herbert Hoover,-91.351503506000000,41.667383428999997
389,FOSC,Fort Scott National Historic Site,5/2/2019 0:00:00,KS,MW,480986,National Historic Site,Lands,Fort Scott,-94.704439375999996,37.843619115999999
390,FLFO,Florissant Fossil Beds National Monument,5/2/2019 0:00:00,CO,IM,191398,National Monument,Lands,Florissant Fossil Beds,-105.281825033000004,38.912923374000002
391,EVER,Everglades National Park,6/24/2019 0:00:00,FL,SE,293666,National Park,Lands,Everglades,-80.881982077000004,25.375942911999999
392,COLO,Colonial National Historical Park,6/30/2019 0:00:00,VA,NE,1478412,National Historical Park,Lands,Colonial,-76.531664226000004,37.237902269999999
393,ANTI,Antietam National Battlefield,5/30/2019 0:00:00,MD,NC,589057,National Battlefield,Lands,Antietam,-77.738073420000006,39.470155343000002
394,GETT,Gettysburg National Military Park,7/11/2019 0:00:00,PA,NE,1175577,National Military Park,Lands,Gettysburg,-77.238468650000002,39.804289152000003
395,HOCU,Hopewell Culture National Historical Park,7/10/2019 0:00:00,OH,MW,1888931,National Historical Park,Lands,Hopewell Culture,-83.135195017000001,39.279394109000002
396,BADL,Badlands National Park,7/19/2019 0:00:00,SD,MW,1265096,National Park,Lands,Badlands,-102.393945066000001,43.834062408999998
397,AMIS,Amistad National Recreation Area,7/22/2019 0:00:00,TX,IM,1329499,National Recreation Area,Lands,Amistad,-101.080951963000004,29.477491985000000
398,PRWI,Prince William Forest Park,7/29/2019 0:00:00,VA,NC,1472799,Park,Lands,Prince William Forest,-77.387419117999997,38.585840558999998
399,EFMO,Effigy Mounds National Monument,8/19/2019 0:00:00,IA,MW,456249,National Monument,Lands,Effigy Mounds,-91.208269096999999,43.091388254999998
400,NIOB,Niobrara National Scenic River,8/19/2019 0:00:00,NE,MW,1888949,National Scenic River,Lands,Niobrara,-99.631987582999997,42.725866218000000
401,PERI,Pea Ridge National Military Park,8/11/2015 0:00:00,AR,MW,53246,National Military Park,Lands,Pea Ridge,-94.034444988999994,36.454781427999997
402,PEFO,Petrified Forest National Park,8/21/2019 0:00:00,AZ,IM,23864,National Park,Lands,Petrified Forest,-109.674685956999994,34.988681841999998
403,WIHO,William Howard Taft National Historic Site,8/23/2019 0:00:00,OH,MW,1888973,National Historic Site,Lands,William Howard Taft,-84.507589508999999,39.119703526000002
404,TULE,Tule Lake National Monument,8/29/2019 0:00:00,CA,PW,need,National Monument,Lands,Tule Lake,-121.374661101000001,41.886609845000002
405,PERL,Pearl Harbor National Memorial,8/29/2019 0:00:00,HI,PW,need,National Memorial,Lands,Pearl Harbor,-157.938499207999996,21.366993442999998
406,LEWI,Lewis and Clark National Historical Park,9/10/2019 0:00:00,WA,PW,2055170,National Historical Park,Legacy,Lewis and Clark,-124.067632019000001,46.286184249000002
407,MUWO,Muir Woods National Monument,9/18/2019 0:00:00,CA,PW,229295,National Monument,Lands,Muir Woods,-122.583950780999999,37.898463722000002
408,MOJA,Mojave National Preserve,9/19/2019 0:00:00,CA,PW,1888945,National Preserve,Lands,Mojave,-115.514363157999995,35.114774277000002
409,INDU,Indiana Dunes National Park,9/23/2019 0:00:00,IN,MW,446903,National Park,Lands,Indiana Dunes,-87.032490746999997,41.661433123999998
410,GWMP,George Washington Memorial Parkway,9/24/2019 0:00:00,VA,NC,584569,National Parkway,Lands,George Washington,-77.049546320999994,38.714978606000003
411,MONO,Monocacy National Battlefield,9/24/2019 0:00:00,MD,NC,588388,National Battlefield,Lands,Monocacy,-77.402467107000007,39.357690601000002
412,DEVA,Death Valley National Park,9/26/2019 0:00:00,CA,PW,857501,National Park,Lands,Death Valley,-117.131566055999997,36.481921546000002
413,BICY,Big Cypress National Preserve,9/26/2019 0:00:00,FL,SE,302659,National Preserve,Lands,Big Cypress,-81.081169235000004,25.971295369000000
414,APPA,Appalachian National Scenic Trail,9/30/2019 0:00:00,ME,NE,2766084,National Scenic Trail,Lands,Appalachian,-70.511158405000003,44.924088075999997
415,ALFL,Alibates Flint Quarries National Monument,11/25/2019 0:00:00,TX,IM,1377214,National Monument,Lands,Alibates Flint Quarries,-101.671708745000004,35.581959605000002
416,LAMR,Lake Meredith National Recreation Area,11/25/2019 0:00:00,TX,IM,1384770,National Recreation Area,Lands, Lake Meredith,-101.696221121999997,35.595931700000001
417,HOSP,Hot Springs National Park,12/13/2019 0:00:00,AR,MW,56796,National Park,Lands,Hot Springs,-93.089721850999993,34.511122026000002
418,VIIS,Virgin Islands National Park,10/24/2019 0:00:00,VI,SE,1614406,National Park,Lands,Virgin Islands,-64.741949887999994,18.342795339999999
419,JOMU,John Muir National Historic Site,12/16/2019 0:00:00,CA,PW,226274,National Historic Site,Lands,John Muir,-122.132660530999999,37.982630059999998
420,BUFF,Buffalo National River,12/18/2019 0:00:00,AR,MW,74272,National River,Lands,Buffalo,-92.918106171999995,35.968644202999997
